target_label,recommendation_blessure
Critique__Zone_Aerobie__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Critique__Zone_Aerobie__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Aerobie__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Critique__Zone_Anaerobie__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Critique__Zone_Anaerobie__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Anaerobie__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Critique__Zone_Basse__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas. | Protection à l'atterrissage : utilisez systématiquement le matelas réglementaire et pratiquez les techniques d'amortissement (fléchissement genou >90°)."
Critique__Zone_Basse__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
Critique__Zone_Basse__sprint,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Prévention sprint : renforcez les ischio-jambiers (nordic curl 3×8), faites des étirements du psoas-iliaque et portez des chaussures à spikes adaptées."
Critique__Zone_Max__high_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en hauteur : surveillance des ligaments du genou (LCA/LCP), renforcement proprioceptif des chevilles, évitez les sauts sur sol dur sans matelas."
Critique__Zone_Max__long_jump,"ALERTE CRITIQUE : arrêt immédiat des entraînements intensifs recommandé. Consultation médicale urgente, bilan musculo-squelettique complet et repos actif obligatoire. | Surmenage cardiaque détecté : surveillez la variabilité cardiaque (HRV) chaque matin. Si HRV < baseline -10%, reportez la séance. | Prévention saut en longueur : attention au fascia plantaire et aux tendons d'Achille — massages réguliers, renforcement excentrique du mollet (3×15 reps)."
